Symbol,Total ESG Risk score,Environment Risk Score,Social Risk Score,Governance Risk Score,Text Chunk
NVDA,13.6,2.3,4.9,6.3,nvidia sustainability report fiscal year
NVDA,13.6,2.3,4.9,6.3,table of contents message from our ceo introduction fy highlights about nvidia sustainability governance societal impact climate and efficiency product energy efficiency greenhouse gas emissions energy and environment people diversity and inclusion recruitment benefits and compensation pay and promotion engagement and retention learning and development community resource groups product value chain responsible sourcing product environmental impact product quality and safety responsible business our code trustworthy ai human rights public policy sustainability indicators tcfd index u n sustainable development goals about this report
NVDA,13.6,2.3,4.9,6.3,nvidia sustainability message from our ceo message from our ceo introduction climate and efficiency people diversity and inclusion product value chain responsible business sustainability indicators message from our ceo dear nvidia family partners and supporters we are at a pivotal moment in history nvidia s technological leaps in accelerated computing and generative ai are at the heart of a new industrial revolution fundamentally reshaping industries by enhancing computing power and significantly advancing sustainability the era of generative ai is here a testament to the accelerated computing architecture we envisioned years ago our breakthroughs have significantly reduced computing costs giving rise to a new approach to software development deep learning this revolutionary method allows algorithms to write software that no human can by uncovering patterns and relationships in vast data sets to learn the structure and meaning of the data
NVDA,13.6,2.3,4.9,6.3,this revolutionary method allows algorithms to write software that no human can by uncovering patterns and relationships in vast data sets to learn the structure and meaning of the data from steam powered machines to electricity then the production of software each of the first three industrial revolutions produced something fundamentally new that transformed every industry and society we are now on the cusp of making something previously unimaginable digital intelligence the generative ai revolution is poised to impact every industry and enable a new era of productivity and sustainability by unlocking efficiencies and resource optimization across sectors the fourth industrial revolution has begun and the world is embracing nvidia s computing platform our commitment to driving these changes is unwavering
NVDA,13.6,2.3,4.9,6.3,the fourth industrial revolution has begun and the world is embracing nvidia s computing platform our commitment to driving these changes is unwavering our innovations in ai and accelerated computing are setting new standards for environmental responsibility while powering a greener more sustainable future nvidia accelerated computing saves energy the era of cpu scaling that propelled the computer industry for decades is fading as computing demand skyrockets software pioneers have turned to nvidia pioneered accelerated computing as the path forward accelerated computing is how to meet the massive demand for computing power sustainably and cost effectively nvidia accelerated computing has reached an inflection point nvidia is modernizing the world s trillion dollar data center industry
NVDA,13.6,2.3,4.9,6.3,nvidia accelerated computing has reached an inflection point nvidia is modernizing the world s trillion dollar data center industry by accelerating workloads with nvidia gpus operating in parallel we exponentially increase throughput while driving down the total energy used to complete a task and thus the total cost of ownership the energy savings are incredible accelerated computing took workloads that previously required tens of thousands of general purpose servers consuming x to x more cost and energy and compressed it into something incredibly dense each gpu server is more costly and consumes more power but an order of magnitude fewer servers are needed so there are enormous money and energy savings when we look at the actual work done or throughput that is precisely why as cpu scaling has slowed we must transition to accelerated computing we cannot continue scaling out the traditional way accelerated computing is essential
NVDA,13.6,2.3,4.9,6.3,that is precisely why as cpu scaling has slowed we must transition to accelerated computing we cannot continue scaling out the traditional way accelerated computing is essential nvidia accelerated computing is sustainable computing nvidia already powers the most energy efficient supercomputers in the world which scientists across various fields of science use to unravel the mysteries of the universe
NVDA,13.6,2.3,4.9,6.3,nvidia sustainability message from our ceo message from our ceo introduction climate and efficiency people diversity and inclusion product value chain responsible business sustainability indicators harnessing the immense computational power to simulate cosmic phenomena decode genetic sequences and predict climate patterns the green evaluates the world s leading supercomputers based on their computational might and energy efficiency nvidia technologies power of the top systems on the latest green list data processing and management is a billion market and a top enterprise workload nvidia cuda gpus accelerate the pervasive apache spark data processing engine benchmark studies show that nvidia accelerated spark can reduce the carbon footprint of data processing by as much as while delivering x average speedups and x reductions in computing costs
NVDA,13.6,2.3,4.9,6.3,pandas is the world s leading data analytics library used by nearly million data scientists though easy to use it runs only on cpus and performance suffers from slow processing speeds when working with large datasets to address that we recently announced that nvidia has accelerated pandas up to x for the world s nearly million pandas users without requiring them to change their code considering the amount of data millions of data scientists process the time and energy saved will be extraordinary training ai consumes energy applying ai saves energy training ai foundation models requires a lot of computing power these requirements will rise as increasingly complex models are trained on more data to make them smarter more useful and safer the models are learning to be more factual and reason deeply to give safer more thoughtful and better aligned responses
NVDA,13.6,2.3,4.9,6.3,the models are learning to be more factual and reason deeply to give safer more thoughtful and better aligned responses nvidia accelerated computing is reducing the cost and energy usage needed to train these foundational ai models with each new generation nvidia s new blackwell platform is a perfect example blackwell empowers organizations worldwide to build and deploy real time generative ai powered by large trillion parameter language models but that is only half of the story this groundbreaking platform also delivers up to an order of magnitude lower cost and energy consumption than its predecessor for model processing training models are the start of ai the investment in the cost and energy of training aims to create models that when applied or inferencing will help us discover better scientific engineering or operational solutions that conserve energy time and cost
