chunk_id,text_chunk,source_file,page_number
b452fd53-c3db-49ad-8fdd-dd09747a6278,"INDUSTRY STANDARD | VERSION 2023-12
sasb.org
Sustainability Accounting Standard 
© 2023 The IFRS Foundation.

All Rights Reserved.
FOOD & BEVERAGE SECTOR
Sustainable Industry Classification System® (SICS®)


Under Stewardship of the International Sustainability Standards Board
FB-AG
Agricultural Products",data\frameworks\agricultural-products-standard_en-gb.pdf,0
3b4da311-896e-4451-890e-2b1685e4c060,"About the SASB Standards
As of August 2022, the International Sustainability Standards Board (ISSB) of the IFRS Foundation assumed
responsibility for the SASB Standards.

The ISSB has committed to maintain, enhance and evolve the SASB
Standards and encourages preparers and investors to continue to use the SASB Standards.


IFRS S1 General Requirements for Disclosure of Sustainability-related Financial Information  (IFRS S1) requires
entities to refer to and consider the applicability of disclosure topics in the SASB Standards when identifying
sustainability-related risks and opportunities that could reasonably be expected to affect an entity ’s prospects.


Similarly, IFRS S1 requires entities to refer to and consider the applicability of metrics in the SASB Standards when
determining what information to disclose regarding sustainability-related risks and opportunities.",data\frameworks\agricultural-products-standard_en-gb.pdf,1
2d0c4e8d-452d-4e9b-abb5-0d1c3a198da1,"In June 2023, the ISSB amended climate-related topics and metrics in the SASB Standards to align them with the
industry-based guidance accompanying IFRS S2 Climate-related Disclosures.

In December 2023, the ISSB amended
the non-climate-related topics and metrics in connection with the International Applicability of SASB Standards
project.


Effective Date
This version 2023-12 of the Standard is effective for all entities for annual periods beginning or after January 1, 2025.


Early adoption is permitted for all entities.


SUSTAINABILITY ACCOUNTING STANDARD| AGRICULTURAL PRODUCTS | 2",data\frameworks\agricultural-products-standard_en-gb.pdf,1
d7fa96b8-53ab-4d24-bdae-45c9f65702fd,"Table of Contents
INTRODUCTION..............................................................................................................................................................4
Overview of SASB Standards.....................................................................................................................................4
Use of the Standards .................................................................................................................................................

5
Industry Description ...................................................................................................................................................

5
Sustainability Disclosure Topics & Metrics................................................................................................................. 6
Greenhouse Gas Emissions ......................................................................................................................................",data\frameworks\agricultural-products-standard_en-gb.pdf,2
eb8fbd4e-90dc-482a-b948-96afeaaaa26f,"8
Energy Management ............................................................................................................................................... 12
Water Management .................................................................................................................................................

14
Food Safety ..............................................................................................................................................................18
Workforce Health & Safety .......................................................................................................................................21
Environmental & Social Impacts of Ingredient Supply Chain ...................................................................................23
GMO Management ..................................................................................................................................................",data\frameworks\agricultural-products-standard_en-gb.pdf,2
6bc445b7-4799-45bb-8081-0df3a7fcf361,"27
Ingredient Sourcing ..................................................................................................................................................28
SUSTAINABILITY ACCOUNTING STANDARD| AGRICULTURAL PRODUCTS | 3",data\frameworks\agricultural-products-standard_en-gb.pdf,2
61f1c43d-7e7c-4e15-9fde-2149cee1817b,"INTRODUCTION
Overview of SASB Standards
The SASB Standards are a set of 77 industry-specific sustainability accounting standards ( “SASB Standards ” or
“Industry Standards”), categorised pursuant to the Sustainable Industry Classification System
®
 (SICS
®
).


SASB Standards include:
1.

Industry descriptions – which are intended to help entities identify applicable industry guidance by describing the
business models, associated activities and other common features that characterise participation in the industry.


2.

Disclosure topics  – which describe specific sustainability-related risks or opportunities associated with the
activities conducted by entities within a particular industry.


3.

Metrics – which accompany disclosure topics and are designed to, either individually or as part of a set, provide
useful information regarding an entity’s performance for a specific disclosure topic.


4.",data\frameworks\agricultural-products-standard_en-gb.pdf,3
b3bba20c-d724-4c35-9561-a7b02464c33f,"4.

Technical protocols  – which provide guidance on definitions, scope, implementation and presentation of
associated metrics.
5.

Activity metrics – which quantify the scale of specific activities or operations by an entity and are intended for use
in conjunction with the metrics referred to in point 3 to normalise data and facilitate comparison.


Entities using the SASB Standards as part of their implementation of ISSB Standards should consider the relevant
ISSB application guidance.


For entities using the SASB Standards independently from ISSB Standards, the SASB Standards Application
Guidance establishes guidance applicable to the use of all Industry Standards and is considered part of the
Standards.

Unless otherwise specified in the technical protocols contained in the Industry Standards, the guidance in
the SASB Standards Application Guidance applies to the definitions, scope, implementation, compilation and
presentation of the metrics in the Industry Standards.",data\frameworks\agricultural-products-standard_en-gb.pdf,3
be92ddf7-e0e8-48ad-a854-e0cf60ca0797,"Historically, the SASB Conceptual Framework set out the basic concepts, principles, definitions and objectives that
guided the SASB Standards Board in its approach to setting standards for sustainability accounting.


SUSTAINABILITY ACCOUNTING STANDARD| AGRICULTURAL PRODUCTS | 4",data\frameworks\agricultural-products-standard_en-gb.pdf,3
9d8c4ef3-02ba-496f-9d0c-7a4d8da3eac5,"Use of the Standards
SASB Standards are intended to aid entities in disclosing information about sustainability-related risks and
opportunities that could reasonably be expected to affect the entity’s cash flows, its access to finance or cost of capital
over the short, medium or long term.

An entity determines which Industry Standard(s) and which disclosure topics are
relevant to its business, and which associated metrics to report.

In general, an entity should use the SASB Standard
specific to its primary industry as identified in SICS
®
 .

However, companies with substantial business in multiple SICS
®
industries should refer to and consider the applicability of the disclosure topics and associated metrics in additional
SASB Standards.


The disclosure topics and associated metrics contained in this Standard have been identified as those that are likely
to be useful to investors.

However, the responsibility for making materiality judgements and determinations rests with
the reporting entity.",data\frameworks\agricultural-products-standard_en-gb.pdf,4
